title,alternativeTitle,regDate,subjectCategory,person,referenceIdentifier
시동,START-UP (SIDONG),2019,드라마,"마동석(거석이형),박정민(고택일),정해인(우상필)",http://file.koreafilm.or.kr/thm/02/00/05/40/TN_DPK015282.jpg
빌어먹을 사춘기,THE FIREFLIES ARE GONE,2019,드라마,"카렐 트렘블레이(레오니),마리-프랑스 마코트(엄마),프랑수아 파피누(폴)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019625.jpg
피아니스트의 전설,THE LEGEND OF 1900,2019,"드라마,뮤직,판타지","팀 로스(대니 부드만 T.D. 레몬 나인틴 헌드러드 1900),프롯 테일러 빈스(맥스 투니),클라렌스 윌리암스 3세(젤리 롤 모턴)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019693.jpg
포드 V 페라리,FORD V. FERRARI,2019,"액션,드라마","크리스찬 베일(켄 마일스),맷 데이먼(캐롤 셸비),케이트리오나 발피(몰리 마일즈)",http://file.koreafilm.or.kr/thm/02/00/05/39/TN_DPF019546.jpg
창진이 마음,UNPREDICTABLE BOY (CHANG-JIN-I MA-EUM),2019,드라마,"장선(고명현),노강민(권창진),김나경",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPK015300.jpg
승리의 전선,THE VICTORY LINE (SEUNGNIUI JEONSEON),2019,"역사,전쟁",임택근(해설),http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPA001030.jpg
악의제국: 13일의금요일 챕터2,(AGUIJEGUK: 13IRUIGEUMYOIL CHAEPTEO2),2019,"액션,공포,스릴러","김준,손수아,정동훈",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPK015299.jpg
신비아파트 극장판 하늘도깨비 대 요르문간드,(SINBIAPATEU GEUKJANGPAN HANEULDOKKAEBI DAE YOREUMUNGANDEU),2019,어드벤처,"조현정(신비 목소리),양정화(금비 목소리),김영은(하리 목소리)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPK015298.jpg
도니브룩,DONNYBROOK,2019,"드라마,액션,스릴러","제이미 벨(자헤드 얼),프랭크 그릴로(체인소 앵거스),마가렛 퀄리(델리아 앵거스)",http://file.koreafilm.or.kr/thm/02/00/05/40/TN_DPF019617.jpg
존과 맥의 요상한 우주여행,ELLIPSE,2019,"SF,드라마","그랜트 마틴(로지),잭 윌리엄(맥),조사이아 오티어(윌리엄스)",http://file.koreafilm.or.kr/thm/02/00/05/40/TN_DPF019616.jpg
눈의 꽃,SNOW FLOWER,2019,"멜로/로맨스,드라마","토사카 히로오미,나카죠 아야미,타카오카 사키",http://file.koreafilm.or.kr/thm/02/00/05/40/TN_DPF019573.jpg
고통을 못 느끼는 남자,THE MAN WHO FEELS NO PAIN,2019,"액션,코메디","아비마뉴 다사니,라디카 마단,굴샨 데바이아",http://file.koreafilm.or.kr/thm/02/00/05/40/TN_DPF019613.jpg
오멘 666,DEMONS,2019,공포,"마일스 돌릭(콜린),린지 앤 윌리엄스(케일리),스티븐 브레드(에디)",http://file.koreafilm.or.kr/thm/02/00/05/40/TN_DPF019611.jpg
아이 워즈 어 시크릿 비치,I WAS A SECRET BITCH,2019,"드라마,멜로/로맨스,어드벤처","사쿠마 유이,모리야마 미라이,무라카미 니지로",http://file.koreafilm.or.kr/thm/02/00/05/40/TN_DPF019608.jpg
